Location Name,Humidity,Temperature
Field,47,26
Classroom,47,26
Park,47,26
Entrance,47,26
Exit,47,26
Your Location,47,26
Tampines Ave 10,47,26
Tampines Ave 5,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,46,26
,47,26
,47,26
,47,26
,46,26
,47,26
,47,26
,47,26
,47,26
,46,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,51,25
,51,26
,51,26
,50,26
,51,26
,51,26
,51,26
,51,26
,66,26
,67,26
,68,26
,70,26
,70,26
,71,27
,69,26
,70,27
,70,26
,71,27
,70,27
,70,27
,70,27
,71,27
,70,27
,71,27
,70,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,69,27
,70,27
,47,26
,47,26
,47,26
,47,26
,47,26
,47,26
,47,28
,50,26
,47,26
,47,26
,46,26
,47,24
,50,26
,47,26
,47,24
,47,26
,47,22
,47,26
,47,22
,47,21
,47,26
,47,26
,70,28
,70,28
,69,28
,68,28
,70,28
,70,28
,70,28
,43,22
,70,28
,70,23
,0,28
,70,28
,58,30
,59,31
,58,21
,59,31
,23,30
,58,30
,58,30
,59,31
,58,30
,59,31
,58,30
,59,31
,58,30
,58,30
,59,31
,58,30
,59,31
,59,31
,58,30
,59,31
,58,30
,58,30
,59,31
,58,30
,58,30
,59,31
,58,30
,59,31
,59,31
,58,30
,59,31
,59,31
,58,30
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,58,32
,58,32
,54,32
,55,32
,57,32
,59,31
,58,30
,58,30
,59,31
,58,30
,59,31
,59,31
,58,30
,58,30
,59,31
,58,30
,59,31
,59,31
,58,30
,59,31
,58,30
,43,20
,32,12
,23,21
